X,Y,fid,address,direction,street,crossstree,intersecti
-8537025.11874323,4763815.00275358,26,EDMONDSON AVE & N ATHOL AVE,W/B,Edmonson,Woodbridge Ave,"Edmonson 
 & Woodbridge Ave"
-8533299.22636975,4762348.08496591,27,FREDERICK AVE & S CATHERINE ST,E/B,Fredrick Ave,Catherine Ave,"Fredrick Ave
 & Catherine Ave"
-8533724.60303728,4769155.87714827,28,PARK HEIGHTS AVE & VIOLET AVE,N/B,Park Heights,Voilet Ave,Park Heights  & Voilet Ave
-8521335.00579496,4767907.15540534,29,SINCLAIR LN & MORAVIA RD,W/B,Sinclair,Moravia Road,Sinclair  & Moravia Road
-8534661.12043766,4761127.15785763,30,WILKENS AVE & DESOTO RD,E/B,Wilkens,DeSoto,Wilkens  & DeSoto
-8524966.40389518,4774386.90084059,31,E NORTHERN PKWY & WAVERLY WAY,W/B,Northern Pkwy,Waverly St,Northern Pkwy  & Waverly St
-8525506.6818598,4771342.80173877,32,E COLD SPRING LN & HILLEN RD,W/B,Cold Spring,Hillen Road,Cold Spring  & Hillen Road
-8531016.86809045,4771054.70704331,33,W COLD SPRING LN & ROLAND AVE,E/B,Cold Spring,Roland Ave,"Cold Spring
  & Roland Ave"
-8526183.52017152,4771362.63349462,34,E COLD SPRING LN & LOCH RAVEN BLVD,W/B,Cold Spring,Loch Raven Blvd,"Cold Spring
  & Loch Raven Blvd"
-8532855.26220589,4771053.7353847,35,TAMARIND RD & W COLD SPRING LN,E/B,Tamarind,Coldspring Lane,"Tamarind
  & Coldspring Lane"
-8526045.82441192,4767787.9200927,36,HARFORD RD & THE ALAMEDA,N/B,Harford,The Alameda,"Harford 
 & The Alameda"
-8521264.40617275,4774532.90653444,37,HARFORD RD & ROSALIE AVE,N/B,Harford,Rosalie Ave,"Harford
  & Rosalie Ave"
-8522202.68951394,4773131.53857505,38,HARFORD RD & CHRISTOPHER AVE,N/B,Harford,Christopher Ave,"Harford 
 & Christopher Ave"
-8522138.86516773,4767254.84340321,39,SINCLAIR LN & SHANNON DR,E/B,Sinclair,Shannon Drive,"Sinclair
  & Shannon Drive"
-8522138.86516773,4767254.84340321,40,SINCLAIR LN & SHANNON DR,W/B,Sinclair,Shannon Drive,"Sinclair 
 & Shannon Drive"
-8537594.04974442,4769117.3130942,41,LIBERTY HTS & HILLSDALE RD,E/B,Liberty Hghts,Hillsdale Ave,"Liberty Hghts
  & Hillsdale Ave"
-8537594.04974442,4769117.3130942,42,LIBERTY HTS & HILLSDALE RD,W/B,Liberty Hghts,Hillsdale Ave,"Liberty Hghts
  & Hillsdale Ave"
-8529043.46812209,4773992.30437661,43,E NORTHERN PKWY & SPRINGLAKE WAY,W/B,Northern Pkwy,Springlake Way,"Northern Pkwy
  & Springlake Way"
-8524310.80391204,4769817.21459791,44,HARFORD RD & WALTHER AVE,S/B,Harford,Walther Ave,Harford  & Walther Ave
-8532218.41779808,4773574.99601023,45,W NORTHERN PKWY & FALLS RD,W/B,Northern Pkwy,Falls Road,Northern Pkwy  & Falls Road
-8535172.84755268,4763882.42965299,46,EDMONDSON AVE & N HILTON ST,E/B,Edmonson,Hilton St,Edmonson  & Hilton St
-8527815.16345936,4763388.02269064,47,N PRESIDENT ST & E FAYETTE ST,S/B,President,Fayette St,President  & Fayette St
-8529717.57168096,4761829.30361382,48,RUSSELL ST & W HAMBURG ST,N/B,Russell,Hamburg St,"Russell 
 & Hamburg St"
-8529734.95428805,4761833.96605121,49,RUSSELL ST & W HAMBURG ST,S/B,Russell,Hamburg St,"Russell
  & Hamburg St"
-8528581.54938401,4762800.82688908,50,LIGHT ST & E PRATT ST,S/B,Light SB,Pratt St,"Light SB 
 & Pratt St"
-8528047.00527731,4762976.95309816,51,E LOMBARD ST & S GAY ST,W/B,Lombard,Gay St,"Lombard 
 & Gay St"
-8527001.76739267,4766453.91785958,52,HARFORD RD & E NORTH AVE,N/B,Harford Rd,North Ave,"Harford Rd
  & North Ave"
-8522172.5819938,4750349.11631058,53,FORT SMALLWOOD RD & FORT ARMISTEAD RD,S/B,Ft Smallwood,Fort Armstead,"Ft Smallwood
  & Fort Armstead"
-8536325.75302398,4770666.49803922,54,GARRISON BLVD & WABASH AVE,E/B,Garrison,Wabash Ave,"Garrison 
 & Wabash Ave"
-8520671.72978376,4772441.57970857,55,WALTHER AVE & GLENMORE AVE,N/B,Walther,Glenmore,"Walther 
 & Glenmore"
-8528951.42643522,4764026.92950682,56,W FRANKLIN ST & CATHEDRAL ST,W/B,Franklin,Cathedral,"Franklin 
 & Cathedral"
-8524371.05901563,4772646.37416445,57,PERRING PKWY & E BELVEDERE AVE,S/B,Perring Pkwy,Belvedere Ave,"Perring Pkwy
  & Belvedere Ave"
-8535558.57102878,4766690.30597642,58,GWYNNS FLS & GARRISON BLVD,W/B,Gwynns Falls,Garrison Blvd,"Gwynns Falls 
  & Garrison Blvd"
-8533497.59697045,4768374.93853651,59,REISTERSTOWN RD & DRUID PARK DR,S/B,Reistertown Rd,Druid Lake Drive,"Reistertown Rd
  & Druid Lake Drive"
-8528432.52112245,4755604.07281506,60,POTEE ST & TALBOTT ST,S/B,Potee,Talbot,"Potee
  & Talbot"
-8528165.51998182,4774882.45209714,61,YORK RD & GITTINGS AVE,S/B,York Rd,Gitting Ave,"York Rd 
 & Gitting Ave"
-8536540.12991832,4770733.04090997,62,WABASH AVE & W BELVEDERE AVE,E/B,Wabash,Belvedere Ave,"Wabash 
 & Belvedere Ave"
-8528177.75394386,4774112.55625052,63,E NORTHERN PKWY & YORK RD,W/B,Northern Pkwy,York Road,"Northern Pkwy
  & York Road"
-8538485.82276933,4772821.91176326,64,REISTERSTOWN RD & PATTERSON AVE,E/B,Reistertown,Patterson Ave,"Reistertown 
  & Patterson Ave"
-8521980.44292155,4764707.69681676,65,PULASKI HWY & E MONUMENT ST,E/B,Pulaski Hwy,Monument St,"Pulaski Hwy 
  & Monument St"
-8534015.40051168,4763742.10074913,66,W FRANKLIN ST & N FRANKLINTOWN RD,E/B,Franklin,Franklintown Road,"Franklin 
  & Franklintown Road"
-8528697.08656902,4759280.30634765,67,S HANOVER ST & E CROMWELL ST,S/B,Hanover,Cromwell St,&
-8537801.74874704,4772217.68647841,68,REISTERSTOWN RD & MENLO DR,N/B,Reisterstown,Menlo Drive,"Reisterstown 
 & Menlo Drive"
-8530272.39489488,4760920.63048393,69,RUSSELL ST & BAYARD ST,S/B,Russell,Bayard St,"Russell 
 & Bayard St"
-8534490.85766011,4767993.96634533,70,LIBERTY HEIGHTS AVE & N DUKELAND ST,E/B,Liberty Hghts,Dukeland St,"Liberty Hghts
  & Dukeland St"
-8528603.81862643,4757529.3048054,71,S HANOVER & REEDBIRD AVE,N/B,Hanover,Reedbird Ave,"Hanover 
 & Reedbird Ave"
-8529039.27190304,4763370.73516312,72,W FAYETTE ST & N LIBERTY ST,W/B,Fayette,Liberty Heights Ave,"Fayette
  & Liberty Heights Ave"
-8535558.57102878,4766690.30597642,73,GWYNNS FLS & GARRISON BLVD,E/B,Gwynns Falls,Garrison Blvd,"Gwynns Falls 
  & Garrison Blvd"
-8525200.82277314,4774820.14863916,74,LOCH RAVEN BLVD & WALKER AVE,N/B,Loch Raven,Walker Ave,"Loch Raven
  & Walker Ave"
-8519544.23742801,4765980.19411927,75,PULASKI HWY & MORAVIA PARK DR,W/B,Pulaski Hwy,Moravia Park Drive,"Pulaski Hwy 
 & Moravia Park Drive"
-8527689.03176952,4764285.02369025,76,HILLEN ST & FORREST ST,W/B,Hillen,Forrest St,"Hillen 
 & Forrest St"
-8520347.31431289,4765359.24808031,77,PULASKI HWY & NORTH POINT RD,E/B,Pulaski,North Point Blvd,"Pulaski 
 & North Point Blvd"
-8532362.86338535,4764555.82320604,78,N MONROE ST & W LAFAYETTE AVE,S/B,Monroe,Lafayette,"Monroe
 & Lafayette"
-8529826.20314885,4766285.71866525,79,W MOUNT ROYAL AVE & W NORTH AVE,N/B,Mt Royal,North,"Mt Royal
 & North"
-8529870.20553423,4766300.58969105,80,MOUNT ROYAL TER & W NORTH AVE,S/B,Mt Royal,North,"Mt Royal
 & North"
